LocationID,Portfolio,State,County,PostalCode,Building Value,Other Value,Contents Value,Time Element Value,Occupancy Code,Construction Code,Stories,Year Built,AAL
33,1,MA,Bristol,2718,314755,55993,178636,1269585,ATC-01,MS00,5,1981,9822.4326
34,1,NY,Broome,13749,670703,42469,419485,960043,ATC-02,WD00,2,1951,20341.044
35,1,CO,Broomfield,80038,206427,72381,569757,316856,ATC-02,Wood Frame,2,1997,11188.0416
36,1,OH,Brown,45130,483455,69680,309122,583255,ATC-01,Wood Frame,2,1981,10118.584
37,1,PA,Bucks,18921,822565,38022,867590,778854,ATC-02,Wood,1,1951,24067.4976
38,1,PA,Bucks,18912,52101,0,71033,16735,ATC-01,MH10,1,2002,1342.7424
39,1,NJ,Burlington,8088,455158,50811,435664,636630,ATC-02,Wood Frame,1,1957,13257.4092
40,1,PA,Butler,16023,278860,71121,935031,306638,ATC-02,MS00,6,1999,4774.95
41,1,TX,Callahan,76443,1744522,72789,1008437,697470,ATC-02,MS00,3,2012,18602.59104
42,1,WI,Calumet,54129,917581,49960,689214,903883,ATC-01,WD10,2,1993,14083.509
43,1,PA,Cambria,15942,964749,93552,850207,692752,ATC-01,WD00,2,1965,15607.56
44,1,PA,Cambria,15915,554659,50636,589547,914404,ATC-02,WD00,1,1954,22779.8568
45,1,NJ,Camden,8034,283274,51220,921906,784056,ATC-01,Wood Frame,2,1981,12242.736
46,1,TX,Cameron,78586,875846,36178,684907,149448,ATC-01,Wood,2,2013,13412.19072
47,1,TX,Cameron,78568,1447225,90342,255159,1017552,ATC-02,MS00,1,1974,22257.40176
48,1,NJ,Cape May,8245,216683,24085,168078,528497,ATC-01,Wood,1,1974,6748.8696
49,1,TX,Cass,75572,137143,76098,925513,350030,ATC-02,Wood Frame,2,1975,15006.94272
50,1,MI,Cass,49067,866636,53090,637440,843232,ATC-02,WD10,1,1956,19011.15216
51,1,NY,Cayuga,13022,354753,29147,367495,343704,ATC-01,Wood Frame,1,1951,10644.36228
52,1,PA,Centre,16829,383619,96577,822376,544680,ATC-01,Wood,2,2007,10344.6112
53,1,PA,Centre,16801,261464,86767,634436,347344,ATC-02,Wood Frame,1,1985,9310.077
54,1,PA,Centre,16856,564667,37210,1852178,142337,ATC-02,MS00,5,2001,6231.3408
55,1,IL,Champaign,61862,472873,21197,123538,779844,ATC-02,WD00,2,1988,13834.7748
56,1,NY,Chautauqua,14769,538156,54762,406465,548368,ATC-02,Wood Frame,1,1984,11143.8072
57,1,NY,Chautauqua,14136,490435,23821,544654,193079,ATC-01,WD10,1,1955,6760.7406
58,1,NY,Chemung,14861,789489,64846,738345,220783,ATC-01,Wood,1,2019,6528.4668
59,1,PA,Chester,19493,88489,0,211462,56134,ATC-01,MH00,1,1976,3845.718
60,1,PA,Chester,19333,788407,75314,775043,796937,ATC-02,WD10,2,1990,12178.505
61,1,IL,Clark,62442,109031,66807,166942,700324,ATC-02,Wood,2,1969,12392.07552
62,1,IL,Clay,62858,82790,0,98494,74575,ATC-01,MH00,1,2010,1801.24736
63,1,TX,Clay,76357,504699,25974,419258,321581,ATC-01,Wood,2,1989,7629.072
64,1,PA,Clearfield,16830,92945,0,343247,58812,ATC-01,MH00,1,2002,3960.032
65,1,MI,Clinton,48894,100684,13620,151706,101831,ATC-02,WD10,2,1990,2832.3757
66,1,PA,Clinton,17747,391390,67501,635856,889046,ATC-02,Wood Frame,1,1952,16663.8612
67,1,IL,Clinton,62252,734119,92462,804960,454667,ATC-02,Wood,2,1965,16522.76736
68,1,IL,Clinton,62230,362205,42467,965478,484167,ATC-02,WD10,1,2013,11422.59272
69,1,TX,Collin,75009,1159401,71120,544568,407853,ATC-02,MS00,5+,2004,10478.1216
70,1,TX,Collin,75025,612687,82911,826848,512345,ATC-01,Wood,1,2012,15627.19488
71,1,OH,Columbiana,44634,361818,22856,657386,706465,ATC-01,Wood,2,1969,12589.38
72,1,OH,Columbiana,44413,66770,0,422344,80077,ATC-01,MH00,1,1977,6830.292
73,1,IL,Cook,60657,56445,0,148931,13401,ATC-01,MH00,1,2013,2502.80888
74,1,IL,Cook,60208,80305,0,155723,26282,ATC-01,MH10,1,1996,2596.869
75,1,IL,Cook,60455,841201,48569,1512552,1898703,ATC-01,MS00,6,1968,28386.765
76,1,IL,Cook,60016,1718796,97938,1836222,1749674,ATC-02,MS00,4,1969,21394.4148
77,1,IL,Cook,60017,98275,0,229667,23708,ATC-01,MH00,1,1964,5105.958
78,1,IL,Cook,60022,60184,0,235362,41347,ATC-01,MH10,1,1952,4891.68636
79,1,IL,Cook,60104,508345,10456,673621,260189,ATC-01,WD00,1,1982,9587.2326
80,1,TX,Crane,79731,337011,43299,371982,129014,ATC-02,MS00,6,2005,5076.32256
81,1,PA,Crawford,16354,306482,63358,288496,147812,ATC-02,Wood Frame,1,1967,8706.3984
82,1,WI,Crawford,54631,886164,50387,1577635,1940936,ATC-02,MS00,4,1973,29403.8052
83,1,WI,Crawford,54654,1616799,68883,769920,1853734,ATC-01,MS00,5,1989,14220.8088
84,1,OH,Cuyahoga,44188,324332,78646,550357,314817,ATC-01,Wood,2,1954,7608.912
85,1,OH,Cuyahoga,44195,73085,0,103434,87470,ATC-01,MH00,1,2003,2745.4856
86,1,TX,Dallas,75275,303877,27115,378588,521045,ATC-01,MS00,3,1978,9746.55
87,1,TX,Dallas,75052,662933,83265,139963,304283,ATC-02,Wood Frame,2,1953,10285.43616
88,1,TX,Dallas,75358,282694,25016,551279,911857,ATC-01,WD10,1,2003,11900.08512
89,1,TX,Dallas,75372,944592,16589,904378,544512,ATC-01,Wood Frame,2,2010,20823.01344
90,1,TX,Dallas,75085,1581206,30561,539794,103061,ATC-02,MS00,4,1978,16233.2784
91,1,TX,Dallas,75063,335852,24712,796088,470754,ATC-02,Wood Frame,1,1965,21091.18176
92,1,TX,Dallas,75209,1288884,61560,372132,1851101,ATC-02,MS00,6,1991,21442.062
93,1,TX,Dallas,75220,77250,0,186096,60510,ATC-01,MH00,1,1972,6528.93696
94,1,TX,Dallas,75237,396938,85383,643831,723825,ATC-01,WD10,2,1960,23975.70192
95,1,WI,Dane,53711,605433,59923,290910,959984,ATC-02,WD10,1,1979,17706.15
96,1,OH,Darke,45346,1256084,22646,1137093,1957838,ATC-02,MS00,5,1970,31490.3592
97,1,PA,Delaware,19043,402994,31662,874396,880667,ATC-02,Wood Frame,2,1988,19707.471
98,1,NY,Delaware,13846,281757,36763,177658,289908,ATC-01,Wood,2,1961,4244.8644
99,1,TX,Denton,76249,923897,46729,777227,180561,ATC-02,Wood Frame,2,1964,16661.49696
100,1,TX,Denton,75033,377711,68705,276982,712320,ATC-02,WD10,2,2002,11026.31424
101,1,IL,Dewitt,61777,303515,37350,651604,617781,ATC-02,WD00,2,2017,9919.14
102,1,WI,Dodge,53048,904993,28386,1994088,405641,ATC-01,MS00,5,2006,14665.6752
103,1,WI,Dodge,53035,63442,0,147022,83253,ATC-01,MH10,1,1979,4652.47728
104,1,WI,Door,54211,635243,33244,152706,631976,ATC-01,WD10,1,1978,9590.9154
105,1,IL,Dupage,60132,472399,53153,178672,758001,ATC-02,WD10,2,1993,8042.2375
106,1,IL,Edgar,61940,208689,81499,458970,248923,ATC-01,WD00,1,1957,9222.26844
107,1,TX,El Paso,88578,652750,10475,1284329,776750,ATC-02,MS00,3,1966,17261.19014
108,1,CO,El Paso,80995,1612217,94662,1249251,911971,ATC-02,MS00,5+,1967,33420.39264
109,1,PA,Erie,16510,624416,13941,858126,243207,ATC-01,Wood Frame,1,1984,15657.21
110,1,PA,Erie,16511,246142,43422,805087,381841,ATC-02,Wood Frame,1,2013,8268.3552
111,1,MA,Essex,1971,719757,13181,756479,578971,ATC-01,WD10,1,1975,15637.01328
112,1,NJ,Essex,7039,872716,73842,914426,992403,ATC-02,WD00,1,1966,20544.3864
113,1,NJ,Essex,7102,583807,13110,106126,701688,ATC-02,WD00,1,2002,10114.0632
114,1,TX,Fayette,78932,913394,17491,1248242,554221,ATC-01,MS00,3,1958,17318.49293
115,1,PA,Fayette,15460,50719,0,55309,55767,ATC-01,MH10,1,1956,2524.002
116,1,PA,Fayette,15474,826017,35087,473893,954673,ATC-01,WD10,1,1973,13738.02
117,1,WI,Fond Du Lac,53010,603445,45983,344190,1691470,ATC-02,MS00,6,1986,11814.3872
118,1,IL,Franklin,62836,788164,94369,514169,622518,ATC-02,Wood Frame,1,2011,10661.4816
119,1,PA,Franklin,17232,903730,63933,269282,916607,ATC-01,WD00,1,1986,19381.968
120,1,OH,Franklin,43224,250142,35377,506863,956593,ATC-02,WD00,1,1954,14691.39
121,1,OH,Franklin,43235,257664,86001,585846,338655,ATC-02,WD10,2,1996,6340.83
122,1,CO,Fremont,81215,73087,0,144411,54612,ATC-01,MH00,1,1979,4702.0608
123,1,IL,Gallatin,62954,405144,59377,186856,739833,ATC-02,Wood,2,1988,12242.648
124,1,TX,Goliad,77960,663902,65159,829958,560800,ATC-01,WD10,1,1952,24420.31488
125,1,TX,Grayson,76264,398467,70898,670998,425758,ATC-01,Wood Frame,2,2012,7517.3808
126,1,OH,Greene,45430,64884,0,149214,57519,ATC-01,MH10,1,1995,3802.638
127,1,NY,Greene,12087,738868,17641,341508,397855,ATC-02,WD10,2,1982,10770.2784
128,1,NY,Greene,12427,830223,71678,316991,429678,ATC-02,Wood Frame,1,1985,11869.704
129,1,TX,Gregg,75647,960883,44886,215703,487807,ATC-01,Wood,1,1958,17229.53232
130,1,CO,Gunnison,81434,1205158,58842,373144,294021,ATC-01,MS00,6,2000,9269.592
131,1,OH,Hamilton,45213,915788,67830,602094,1749219,ATC-02,MS00,6,1951,12005.7516
132,1,OH,Hamilton,45242,707020,70272,902879,392239,ATC-02,WD10,2,1967,19895.136
133,1,MA,Hampden,1008,172887,84157,598637,494460,ATC-02,Wood,1,2019,4860.5076
134,1,MA,Hampshire,1243,952457,26019,486190,767230,ATC-02,WD00,2,1983,18078.3576
135,1,IL,Hancock,62358,908020,88259,333640,101091,ATC-02,Wood Frame,1,1990,11018.777
136,1,TX,Harris,77044,105823,51968,880136,894649,ATC-01,WD10,2,2014,14842.18368
137,1,TX,Harris,77262,135914,47462,861738,102524,ATC-01,Wood,1,1981,12394.4904
138,1,TX,Harris,77063,869294,66319,416886,1349296,ATC-01,MS00,1,1985,21398.2164
139,1,TX,Harris,77088,844901,95832,957493,780918,ATC-02,WD10,2,2008,20575.82592
140,1,TX,Harris,77209,55503,0,468542,70422,ATC-01,MH10,1,2000,9987.0456
141,1,TX,Harris,77225,269498,88183,950912,954558,ATC-02,WD10,1,1984,13578.906
142,1,TX,Harris,77255,347433,29066,481636,929275,ATC-01,Wood Frame,1,1995,19304.028
143,1,IL,Henry,61413,925291,51038,501192,877520,ATC-02,WD10,2,1965,21760.57884
144,1,NY,Herkimer,13329,972742,74542,166855,855924,ATC-02,WD10,2,2002,11923.56288
145,1,TX,Howard,79720,138465,88804,700230,539916,ATC-01,Wood Frame,1,1958,16904.6208
146,1,NJ,Hunterdon,8889,738124,86614,113239,233304,ATC-02,Wood,1,1980,7027.686
147,1,NJ,Hunterdon,8827,497607,51911,1808339,1913743,ATC-01,MS00,2,1961,16915.536
148,1,NJ,Hunterdon,8885,1576106,64110,1461446,1098931,ATC-02,MS00,5,2009,20162.8464
149,1,PA,Huntingdon,16623,395610,57849,209035,791044,ATC-02,WD00,2,1985,8721.228
150,1,PA,Huntingdon,17243,505296,49359,984142,391203,ATC-02,WD10,1,1953,13896
151,1,MI,Ingham,48933,865826,54088,216169,462259,ATC-01,WD00,2,2001,12658.86864
152,1,MI,Ionia,48875,1798386,97886,968580,596884,ATC-02,MS00,2,1951,30158.64403
153,1,MI,Ionia,48845,493233,79922,580633,225020,ATC-01,WD10,1,1966,10920.15936
154,1,IL,Iroquois,60911,319443,94251,881117,909664,ATC-02,Wood,1,1984,16974.4575
155,1,IL,Iroquois,60967,791007,73598,391565,622707,ATC-02,WD10,1,1953,17360.82348
156,1,MI,Isabella,48896,815576,60281,300190,129251,ATC-02,Wood Frame,2,2015,10337.96016
157,1,TX,Jackson,77957,93938,0,309462,85294,ATC-01,MH00,1,1964,9852.07104
158,1,IL,Jackson,62901,132328,77243,180571,939308,ATC-01,Wood,1,1987,7311.975
159,1,IL,Jasper,62479,964861,45827,444126,854995,ATC-02,WD00,2,1992,15244.7394
160,1,CO,Jefferson,80127,688945,40798,497242,452310,ATC-01,WD00,1,2012,12896.9856
161,1,CO,Jefferson,80454,342852,18548,560703,612205,ATC-01,WD00,1,2002,7364.6784
162,1,CO,Jefferson,80162,95373,0,411269,46319,ATC-01,MH10,1,2010,6370.11072
163,1,OH,Jefferson,43910,945594,42993,165770,137251,ATC-02,Wood,2,1989,9041.256
164,1,TX,Jim Wells,78333,834695,42717,508637,227895,ATC-02,WD00,2,1992,15493.8624
165,1,MI,Kalamazoo,49041,949788,91342,140214,367197,ATC-02,WD00,2,2014,8176.29648
166,1,TX,Karnes,78111,441863,32439,155357,971076,ATC-02,Wood,1,1991,9604.41
167,1,IL,Kendall,60543,614508,19613,366574,654380,ATC-02,WD00,1,1964,10923.495
168,1,WI,Kenosha,53104,1661306,51468,1370691,1091306,ATC-02,MS00,5,2004,11021.39544
169,1,WI,Kenosha,53171,229983,76932,733501,344861,ATC-01,WD00,2,1968,12799.95948
170,1,MI,Kent,49351,263817,44033,178718,192168,ATC-02,Wood Frame,2,1960,4479.6576
171,1,MI,Kent,49501,366439,94842,975043,864173,ATC-01,Wood Frame,2,1999,15183.2802
172,1,MI,Kent,49315,250060,90140,287563,987676,ATC-02,WD10,1,1996,15992.8461
173,1,NY,Kings,11215,808972,95149,962754,293126,ATC-01,WD10,2,1984,17496.0081
174,1,IL,Knox,61467,933127,84029,393992,232368,ATC-01,WD10,2,1974,15186.08784
175,1,IL,La Salle,61325,435353,17995,711447,119528,ATC-02,WD10,1,1950,13562.45088
176,1,PA,Lackawanna,18448,1199356,44029,1176056,812080,ATC-02,MS00,4,2010,15511.3008
177,1,TX,Lamar,75411,375218,21509,726927,429015,ATC-02,Wood Frame,2,1959,11179.2168
178,1,PA,Lancaster,17521,168978,93063,904476,221531,ATC-01,Wood Frame,1,2006,9993.9456
179,1,PA,Lancaster,17551,370256,15872,968171,513404,ATC-02,Wood Frame,2,2008,8964.9744
180,1,WI,Langlade,54409,261500,38047,546629,112871,ATC-02,Wood,1,2016,5063.76816
181,1,CO,Larimer,80528,281701,25652,904281,605392,ATC-02,Wood,1,1952,23548.65696
182,1,IL,Lawrence,62439,52462,0,305259,12313,ATC-01,MH10,1,1967,5861.33856
183,1,PA,Lehigh,18101,564294,86633,860601,600108,ATC-02,WD00,1,1988,12669.816
184,1,TX,Leon,77850,70235,0,154807,54244,ATC-01,MH10,1,1981,3016.2888
185,1,NY,Lewis,13345,256877,84089,859512,416826,ATC-01,Wood Frame,2,2013,6986.75328
186,1,TX,Limestone,76686,523369,54277,293025,606775,ATC-01,Wood,1,1995,14183.4816
187,1,TX,Live Oak,78350,582369,58468,984491,206836,ATC-01,WD00,2,2003,10553.26464
188,1,MI,Livingston,48843,52948,0,408237,62924,ATC-01,MH00,1,1970,6918.2388
189,1,NY,Livingston,14414,1329552,52263,1747647,1002825,ATC-02,MS00,3,1970,19636.62782
190,1,NY,Livingston,14486,671503,32183,225139,502054,ATC-01,WD10,2,1962,10817.44524
191,1,OH,Lorain,44052,82013,0,409806,26203,ATC-01,MH00,1,2013,4558.5936
192,1,OH,Lorain,44011,256434,87020,553200,164095,ATC-01,WD10,1,1977,6364.494
193,1,TX,Lubbock,79411,630683,34596,673110,643173,ATC-02,Wood,1,2001,9511.4976
194,1,TX,Lubbock,79452,655448,86791,183316,313635,ATC-02,Wood,2,2019,9516.9792
195,1,OH,Lucas,43617,845728,77779,835500,753807,ATC-02,Wood Frame,1,1959,27138.3912
196,1,PA,Luzerne,18706,241338,18312,329326,273651,ATC-02,Wood,2,2019,6210.9144
197,1,PA,Luzerne,18773,59749,0,466109,23893,ATC-01,MH10,1,1967,5937.3108
198,1,IL,Madison,62087,1787780,93957,452937,1933100,ATC-02,MS00,6,1955,33800.77008
199,1,OH,Mahoning,44436,352424,53940,766135,563349,ATC-01,WD10,2,1998,8679.24
200,1,OH,Mahoning,44507,216382,73782,151874,989011,ATC-02,WD10,1,1962,8586.294
201,1,OH,Mahoning,44609,237952,27285,1614803,1444934,ATC-02,MS00,1,1962,21944.8284
202,1,MI,Manistee,49634,812316,89957,205326,746020,ATC-02,Wood Frame,2,1976,17127.43956
203,1,WI,Manitowoc,53015,943890,94878,667424,890478,ATC-02,WD00,2,1953,20565.6264
204,1,WI,Marathon,54471,579398,81616,235714,510681,ATC-02,Wood Frame,1,1950,13004.45916
205,1,WI,Marathon,54427,326219,87524,951130,1199224,ATC-01,MS00,3,2018,12410.22948
206,1,WI,Marathon,54408,313992,79946,154478,195935,ATC-01,Wood,1,1960,5895.25992
207,1,WI,Marinette,54119,654790,20358,836538,567722,ATC-01,WD00,1,1951,19213.72992
208,1,MI,Marquette,49865,798496,65495,760219,704947,ATC-01,WD10,1,1980,17934.5089
209,1,IL,Mclean,61724,388672,37441,553206,557081,ATC-02,WD10,1,1994,11830.28
210,1,TX,Mclennan,76630,57970,0,268615,96058,ATC-01,MH00,1,2003,3651.63552
211,1,TX,Mcmullen,78007,60335,0,339182,80823,ATC-01,MH00,1,2017,4611.264
212,1,OH,Medina,44233,366272,92316,1366968,333039,ATC-02,MS00,2,1959,14246.727
213,1,OH,Meigs,45769,1938546,42036,757334,1696658,ATC-02,MS00,5,1991,26607.444
214,1,NJ,Mercer,8648,583838,54425,852574,210261,ATC-01,Wood,2,1966,12247.9056
215,1,NJ,Middlesex,8840,815127,97758,459422,308173,ATC-02,WD00,1,2017,6721.92
216,1,NJ,Middlesex,8824,807756,62466,291211,842696,ATC-01,Wood,1,1992,10020.645
217,1,MA,Middlesex,2475,998199,35443,748762,917046,ATC-02,WD10,2,2007,15548.832
218,1,MI,Midland,48618,945235,74871,832205,663398,ATC-01,Wood,1,1987,16603.6794
219,1,WI,Milwaukee,53206,938445,49584,842300,918077,ATC-02,Wood Frame,1,1959,29023.16736
220,1,WI,Milwaukee,53209,443678,74869,982700,221672,ATC-01,Wood Frame,2,2015,9097.01232
221,1,WI,Milwaukee,53215,1978013,20876,597020,695950,ATC-02,MS00,5+,2017,8690.50776
222,1,MI,Missaukee,49657,143750,27850,906241,426189,ATC-01,WD00,1,2013,11911.9176
223,1,NY,Monroe,14613,268708,49914,855549,754079,ATC-02,MS00,4,2003,4165.02
224,1,NY,Monroe,14410,490360,53673,1220976,247607,ATC-02,MS00,6,1982,9056.772
225,1,IL,Monroe,62279,941787,46655,905713,789747,ATC-02,WD00,2,1968,24799.25448
226,1,MI,Monroe,48145,97747,0,302734,14821,ATC-01,MH10,1,1987,4111.4898
227,1,MI,Montcalm,49322,1714295,38547,1345406,844745,ATC-02,MS00,4,1955,31228.50456
228,1,MI,Montcalm,48886,69221,0,496613,43448,ATC-01,MH10,1,1975,7238.27016
229,1,IL,Montgomery,62076,274125,81334,144165,572980,ATC-01,WD10,1,1985,8259.0508
230,1,OH,Montgomery,45426,1820076,81283,1089749,454648,ATC-01,MS00,3,1986,18951.658
231,1,PA,Montgomery,19404,399254,94985,415739,181734,ATC-01,WD00,1,1994,8733.696
232,1,PA,Montgomery,18936,669465,61282,151540,328951,ATC-02,Wood,1,2012,4844.952
233,1,PA,Montgomery,18915,1117309,51094,1729103,274580,ATC-01,MS00,5,2011,10150.6752
234,1,PA,Montgomery,19090,680575,10452,454536,363608,ATC-01,Wood Frame,1,1959,14488.0416
235,1,PA,Montgomery,18979,777829,24709,373032,732742,ATC-01,Wood,1,1975,20609.7696
236,1,OH,Morrow,43350,1294565,59669,195640,1493038,ATC-01,MS00,5+,1991,15214.56
237,1,IL,Moultrie,61937,93074,0,54596,63153,ATC-01,MH10,1,1994,2782.8636
238,1,IL,Moultrie,61925,95038,0,202294,75729,ATC-01,MH10,1,2003,2954.64312
239,1,MI,Muskegon,49461,679139,40006,507123,559155,ATC-02,WD10,2,2000,11783.7918
240,1,TX,Nacogdoches,75962,840121,44821,764482,910478,ATC-02,Wood Frame,1,1972,33176.32992
241,1,NY,Nassau,11545,454900,96078,837174,245026,ATC-02,WD00,2,2005,7055.32896
242,1,NY,New York,10004,66823,0,73830,70114,ATC-01,MH10,1,1956,2959.16868
243,1,NY,New York,10212,86828,0,34465,68142,ATC-01,MH10,1,1978,2864.2572
244,1,NY,New York,10256,639424,32351,300477,618926,ATC-02,Wood Frame,2,1991,12888.5418
245,1,NY,New York,10265,1762885,32717,576058,869974,ATC-01,MS00,5+,1970,14003.85888
246,1,NY,New York,10165,796784,97251,409948,782987,ATC-02,WD00,1,1974,13523.5656
247,1,NY,New York,10172,329971,67773,803201,327256,ATC-02,WD00,2,1992,6876.9045
248,1,OH,Noble,43724,235755,92995,221130,1271147,ATC-02,MS00,5+,2018,4370.4648
249,1,MA,Norfolk,2030,855002,57592,518438,218449,ATC-02,Wood,2,1979,14251.51584
250,1,MA,Norfolk,2067,335134,56234,853440,357695,ATC-02,Wood,1,1972,8653.5162
251,1,PA,Northampton,18072,504486,70785,306181,237647,ATC-01,WD10,2,1985,10071.891
252,1,MI,Oakland,48073,98118,0,378322,85418,ATC-01,MH00,1,2002,5933.22048
253,1,MI,Oakland,48323,1379275,29032,1077567,836437,ATC-01,MS00,5,1983,14618.1684
254,1,MI,Oakland,48328,993750,18736,686265,639413,ATC-01,WD00,2,2000,20575.8432
255,1,MI,Oakland,48382,751314,81166,608856,209978,ATC-01,WD00,1,2010,8718.93792
256,1,NY,Oneida,13480,901325,23775,651807,664654,ATC-02,WD00,1,1992,12104.4294
257,1,NY,Oneida,13435,345772,28005,242231,589368,ATC-02,Wood Frame,1,1978,7810.83648
258,1,NY,Onondaga,13221,981300,91483,785084,656381,ATC-01,WD10,2,1982,15839.7624
259,1,NY,Orange,12552,801969,32875,525008,956112,ATC-02,WD00,2,1976,22511.17008
260,1,NY,Orange,10958,721690,62203,437660,349607,ATC-02,Wood Frame,1,1964,8484.264
261,1,NY,Orange,10922,137178,80262,691157,234888,ATC-02,Wood Frame,2,1963,11114.6742
262,1,NY,Oswego,13493,240382,56117,510077,763413,ATC-02,Wood Frame,2,1971,11869.11684
263,1,NY,Oswego,13144,730565,26452,524059,482072,ATC-01,Wood,1,1981,7934.166
264,1,NY,Otsego,13776,733359,85537,436626,372948,ATC-01,Wood Frame,2,2005,5862.492
265,1,OH,Ottawa,43458,257874,46478,1355067,1831369,ATC-02,MS00,4,2007,16755.7824
266,1,WI,Ozaukee,53012,622633,30610,318556,760440,ATC-02,WD00,2,2001,12194.96256
267,1,NJ,Passaic,7420,358881,77902,368991,843796,ATC-01,WD10,2,1995,13196.56
268,1,IL,Peoria,61529,535036,48403,282847,744936,ATC-01,Wood,1,2012,11343.00288
269,1,IL,Peoria,61636,503363,76229,1893747,1548395,ATC-02,MS00,1,1984,14598.89442
270,1,PA,Philadelphia,19104,950413,75389,534727,727142,ATC-02,WD00,1,2012,14641.0944
271,1,PA,Philadelphia,19093,1044443,19173,450941,1401838,ATC-01,MS00,5+,1960,17498.37
272,1,OH,Pickaway,43145,905478,16699,373730,525931,ATC-01,Wood Frame,2,1970,10931.028
273,1,WI,Portage,54407,1075668,46461,1387477,1395994,ATC-02,MS00,2,1963,22683.7248
274,1,TX,Potter,79111,268255,77767,452411,913097,ATC-02,WD10,1,1959,17252.2224
275,1,OH,Preble,45381,523760,69941,107345,780042,ATC-01,Wood Frame,2,2002,7109.2224
276,1,WI,Price,54556,453757,84273,532010,297673,ATC-01,WD10,2,1993,7522.4215
277,1,OH,Putnam,45864,378445,84850,659538,754763,ATC-02,Wood Frame,2,1958,18024.9216
278,1,WI,Racine,53407,465059,22378,873571,434024,ATC-02,WD00,2,2011,9477.76896
279,1,IL,Richland,62425,583497,56413,827369,478559,ATC-02,WD10,2,1975,20548.04928
280,1,TX,Robertson,76629,660725,53821,899540,842967,ATC-01,WD00,2,1967,17690.7816
281,1,WI,Rock,53501,93991,0,46607,68031,ATC-01,MH10,1,1996,2753.9028
282,1,NY,Rockland,10927,182559,77017,255985,953917,ATC-01,WD10,1,2003,9522.21744
283,1,NY,Rockland,10956,867349,76572,556776,806481,ATC-02,Wood Frame,2,1969,14950.51344
284,1,MI,Roscommon,48653,1726193,67636,1004382,1727763,ATC-01,MS00,1,1951,19715.14274
285,1,WI,Saint Croix,54027,984695,97260,402772,504719,ATC-02,Wood,2,2000,13130.3436
